word,graphemes,phonemes
ABORIGINAL,A B OR I G I N A L,AE B ER IH JH AH N AH L
ACADEMIC,A C A D E M I C,AE K AH D EH M IH K
ACCOMPLISH,A CC O M P L I SH,AH K AA M P L IH SH
ACHIEVE,A CH IE VE,AH CH IY V
ADMIRE,A D M I RE,AE D M AY R
AESTHETIC,AE S TH E T I C,EH S TH EH T IH K
ANALYTICAL,A N A L Y T I C A L,AE N AH L IH T IH K AH L
ANTHOLOGY,A N TH O L O G Y,AE N TH AO L AH JH IY
ARTISTIC,A R T I S T I C,AA R T IH S T IH K
BENEFICIAL,B E N E F I CI A L,B EH N AH F IH SH AH L
BIOCHEMICAL,B I O CH E M I C A L,B AY OW K EH M IH K AH L
BIOPHYSICS,B I O PH Y S I C S,B AY OW F IH S IH K S
BOTANICAL,B O T A N I C A L,B AH T AE N IH K AH L
CENTAURI,C E N T AU R I,S EH N T AA R IY
COGNITIVE,C O G N I T I VE,K AA G N IH T IH V
COMET,C O M E T,K AA M AH T
COMPOSE,C O M P O SE,K AH M P OW Z
CORAL,C O R A L,K AO R AH L
COSMOS,C O S M O S,K AA Z M OW S
COURAGE,C OUR A GE,K ER IH JH
CREATIVE,C R E A T I VE,K R IY EY T IH V
CREATIVE,C R E A T I VE,K R IY EY T IH V
DIALECTIC,D I A L E C T I C,D AY AH L EH K T IH K
DIAMETER,D I A M E T ER,D AY AE M AH T ER
DISCOVERY,D I S C O V ER Y,D IH S K AH V ER IY
DRAMATIC,D R A M A T I C,D R AH M AE T IH K
EARTHLY,EAR TH L Y,ER TH L IY
ECLIPSE,E C L I P SE,IH K L IH P S
ECOSYSTEM,E C O S Y S T E M,IY K OW S IH S T AH M
EDUCATE,E D U C A TE,EH JH AH K EY T
ENLIGHTEN,E N L IGH T E N,EH N L AY T AH N
EPISTEMIC,E P I S T E M I C,EH P IH S T EH M IH K
EQUATION,E Q U A TI O N,IH K W EY ZH AH N
FLORA,F L O R A,F L AO R AH
FLOURISH,F L OUR I SH,F L ER IH SH
FOREST,F O R E S T,F AO R AH S T
GEOMETRIC,G E O M E T R I C,JH IY AH M EH T R IH K
HARMONIZE,H A R M O N I ZE,HH AA R M AH N AY Z
HEATHER,H EA TH ER,HH EH DH ER
HOLLY,H O LL Y,HH AA L IY
HOPE,H O PE,HH OW P
HORNBILL,H O R N B I LL,HH AO R N B IH L
HYDRATION,H Y D R A TI O N,HH AY D R EY SH AH N
HYDROLYZE,H Y D R O L Y ZE,HH AY D R AH L AY Z
HYGROMETER,H Y G R O M E T ER,HH AY G R AA M AH T ER
HYPERSPACE,H Y P ER S P A CE,HH AY P ER S P EY S
HYPOTHESES,H Y P O TH E S E S,HH AY P AA TH AH S IY Z
IMAGERY,I M A GE R Y,IH M AH JH R IY
IMAGINES,I M A G I NE S,IH M AE JH AH N Z
IMMENSELY,I MM E N SE L Y,IH M EH N S L IY
IMMORTALIZE,I MM O R T A L I ZE,IH M AO R T AH L AY Z
IMPRESSIVE,I M P R E SS I VE,IH M P R EH S IH V
IMPROVE,I M P R O VE,IH M P R UW V
INFINITY,I N F I N I T Y,IH N F IH N IH T IY
INITIAL,I N I TI A L,IH N IH SH AH L
INNOVATE,I NN O V A TE,IH N AH V EY T
INQUIRY,I N Q U I R Y,IH N K W AY R IY
INSPIRING,I N S P I R I NG,IH N S P AY R IH NG
INTERACT,I N T ER A C T,IH N T ER AE K T
INTREPID,I N T R E P I D,IH N T R EH P AH D
INTUITIVELY,I N T U I T I VE L Y,IH N T UW IH T IH V L IY
INVENTIVE,I N V E N T I VE,IH N V EH N T IH V
ITERATIVE,I T ER A T I VE,IH T ER EY T IH V
IVY,I V Y,AY V IY
JOURNEY,J OUR N EY,JH ER N IY
JOY,J OY,JH OY
JUBILEE,J U B I L EE,JH UW B AH L IY
KANGAROO,K A N G AR OO,K AE NG G ER UW
KATYDID,K A T Y D I D,K EY T IY D IH D
KINDLY,K I N D L Y,K AY N D L IY
KITTEN,K I TT E N,K IH T AH N
KNOWLEDGE,KN OW L E DGE,N AA L AH JH
LAB,L A B,L AE B
LAKE,L A KE,L EY K
LAMB,L A MB,L AE M
LAUGHTER,L AU GH T ER,L AE F T ER
LAZULI,L A Z U L I,L AH Z UW L IY
LEARNING,L EAR N I NG,L ER N IH NG
LECTURE,L E C T URE,L EH K CH ER
LESSON,L E SS O N,L EH S AH N
LETTERPRESS,L E TT ER P R E SS,L EH T ER P R EH S
LEVEE,L E V EE,L EH V IY
LIBERTY,L I B ER T Y,L IH B ER T IY
LIBRETTO,L I B R E TT O,L IH B R EH T OW
LIFETIME,L I FE T I ME,L AY F T AY M
LIKELIHOOD,L I KE L I H OO D,L AY K L IY HH UH D
LINGUISTICS,L I N G U I S T I C S,L IH NG G W IH S T IH K S
LIONHEART,L I O N H EA R T,L AY AH N HH AA R T
LIQUID,L I Q U I D,L IH K W AH D
LITERAL,L I T ER A L,L IH T ER AH L
LITTORAL,L I TT OR A L,L IH T ER AH L
LIVELIHOOD,L I VE L I H OO D,L AY V L IY HH UH D
LODESTAR,L O DE S T A R,L OW D S T AA R
LOESS,L O E SS,L OW AH S
LOVELY,L O VE L Y,L AH V L IY
LUMINANCE,L U M I N A N CE,L UW M AH N AH N S
LUSTRE,L U S T RE,L AH S T ER
LYMPHATIC,L Y M PH A T I C,L IH M F AE T IH K
MAJESTY,M A J E S T Y,M AE JH AH S T IY
MAMMALIAN,M A MM A L I A N,M AH M EY L IY AH N
MARINADE,M A R I N A DE,M AA R IH N EY D
MARSHY,M A R SH Y,M AA R SH IY
MASTERWORK,M A S T ER W OR K,M AE S T ER W ER K
MATHEMATICS,M A TH E M A T I C S,M AE TH AH M AE T IH K S
MATRICIAL,M A T R I C E S,M EY T R IH S IH Z
MEMORY,M E M OR Y,M EH M ER IY
MERCY,M ER C Y,M ER S IY
MERLIN,M ER L I N,M ER L IH N
METALLIC,M E T A LL I C,M AH T AE L IH K
METAMORPHIC,M E T A M O R PH I C,M EH T AH M AO R F IH K
METAPHYSICS,M E T A PH Y S I C S,M EH T AH F IH Z IH K S
METEORITE,M E T E O R I TE,M IY T IY AO R AY T
METHOD,M E TH O D,M EH TH AH D
MICRON,M I C R O N,M AY K R AA N
MICROSCOPY,M I C R O S C O P Y,M AY K R AH S K AH P IY
MILDLY,M I L D L Y,M AY L D L IY
MILKY,M I L K Y,M IH L K IY
MILLENNIUM,M I LL E NN I U M,M AH L EH N IY AH M
MINERALIZE,M I N ER A L I ZE,M IH N ER AH L AY Z
MIRRORED,M I RR OR ED,M IH R ER D
MIST,M I S T,M IH S T
MODERNITY,M O D ER N I T Y,M AA D ER N AH T IY
MOLTEN,M O L T E N,M OW L T AH N
MOMENTOUS,M O M E N T OU S,M OW M EH N T AH S
MONARCH,M O N A R CH,M AA N AA R K
MONOCHROME,M O N O CH R O ME,M AA N AH K R OW M
MONOGRAPH,M O N O G R A PH,M AA N AH G R AE F
MONOPOLY,M O N O P O L Y,M AH N AA P AH L IY
MOONBEAM,M OO N B EA M,M UW N B IY M
MOOR,M OO R,M UH R
MOOSE,M OO SE,M UW S
MORALIST,M O R A L I S T,M AO R AH L IH S T
MOTHERHOOD,M O TH ER H OO D,M AH DH ER HH UH D
MOTIVE,M O T I VE,M OW T IH V
MOVINGLY,M O V I NG L Y,M UW V IH NG L IY
MYTHICAL,M Y TH I C A L,M IH TH AH K AH L
NARRATION,N A RR A TI O N,N EH R EY SH AH N
NAVIGATOR,N A V I G A T OR,N AE V AH G EY T ER
NECTAR,N E C T AR,N EH K T ER
NEURON,N EU R O N,N UH R AA N
NEWCOMER,N EW C O M ER,N UW K AH M ER
NOURISH,N OUR I SH,N ER IH SH
NOVELISTIC,N O V E L I S T I C,N AA V AH L IH S T IH K
NUCLEATION,N U C L E A TI O N,N UW K L IY EY SH AH N
NURTURE,N UR T URE,N ER CH ER
NUTRIENT,N U T R I E N T,N UW T R IY AH N T
NYMPH,N Y M PH,N IH M F
OBSERVATORY,O B S ER V A T O R Y,AH B Z ER V AH T AO R IY
OBSTETRICAL,O B S T E T R I C A L,AH B S T EH T R IH K AH L
OCELOT,O C E L O T,AA S AH L AA T
ODE,O DE,OW D
OLIGARCH,O L I G A R CH,OW L IH G AA R K
OMNIPRESENT,O M N I P R E S E N T,AA M N IH P R EH Z AH N T
OPERATIC,O P ER A T I C,AA P ER AE T IH K
OPTICS,O P T I C S,AA P T IH K S
OPTIMIZE,O P T I M I ZE,AA P T IH M AY Z
ORANGUTAN,O R A NG U T A N,AO R AE NG AH T AE N
ORBIT,O R B I T,AO R B AH T
ORDERLINESS,O R D ER L I N E SS,AO R D ER L IY N AH S
ORE,O RE,AO R
ORGANISMIC,O R G A N I S M I C,AO R G AH N IH Z M IH K
ORIGINATOR,OR I G I N A T OR,ER IH JH AH N EY T ER
OSMOSIS,O S M O S I S,AO Z M OW S IH S
OSTEOPATHIC,O S T E O P A TH I C,AA S T IY AH P AE TH IH K
OUTBOUND,OU T B OU N D,AW T B AW N D
OVERCOMING,O V ER C O M I NG,OW V ER K AH M IH NG
OVERFLOWING,O V ER F L OW I NG,OW V ER F L OW IH NG
PACIFIC,P A C I F I C,P AH S IH F IH K
PAGEANTRY,P A G EA N T R Y,P AE JH AH N T R IY
PAINLESS,P AI N L E SS,P EY N L AH S
PAINTED,P AI N T E D,P EY N T AH D
PALADIN,P A L A D I N,P AE L AH D IH N
PAMPHLET,P A M PH L E T,P AE M F L AH T
PANCREAS,P A N C R E A S,P AE N K R IY AH S
PARADE,P AR A DE,P ER EY D
PASSION,P A SSI O N,P AE SH AH N
PATHOGENIC,P A TH O G E N I C,P AE TH AH JH EH N IH K
PATIENCE,P A TI E N CE,P EY SH AH N S
PATIENT,P A TI E N T,P EY SH AH N T
PATRIOT,P A T R I O T,P EY T R IY AH T
PEACEMAKER,P EA CE M A K ER,P IY S M EY K ER
PEARL,P EAR L,P ER L
PEDICURE,P E D I C U RE,P EH D IH K Y ER
PERCENTILE,P ER C E N T I LE,P ER S EH N T AY L
PERENNIAL,P ER E NN I A L,P ER EH N IY AH L
PERIMETER,P ER I M E T ER,P ER IH M AH T ER
PERMANENCE,P ER M A N E N CE,P ER M AH N AH N S
PERPETUALLY,P ER P E T U A LL Y,P ER P EH CH UW AH L IY
PETAL,P E T A L,P EH T AH L
PHARMACIST,PH A R M A C I S T,F AA R M AH S IH S T
PHASE,PH A SE,F EY Z
PHOSPHOROUS,PH O S PH OR OU S,F AA S F ER AH S
PHOTOGRAPHY,PH O T O G R A PH Y,F AH T AA G R AH F IY
PHYLOGENY,PH Y L O G E N Y,F AY L AA JH AH N IY
PILLAR,P I LL AR,P IH L ER
PIVOT,P I V O T,P IH V AH T
PLACATE,P L A C A TE,P L EY K EY T
PLANKTON,P L A N K T O N,P L AE NG K T AH N
PLASTERWORK,P L A S T ER W OR K,P L AE S T ER W ER K
PLATINUM,P L A T I N U M,P L AE T IH N AH M
PLEASURE,P L EA S URE,P L EH ZH ER
PLEIAD,P L EI A D,P L IY AH D
PLEOMORPHIC,P L E O M O R PH I C,P L IY AH M AO R F IH K
PLUMAGE,P L U M A GE,P L UW M AH JH
POETIC,P O E T I C,P OW EH T IH K
POLARIZE,P O L AR I ZE,P OW L ER AY Z
POLLEN,P O LL E N,P AA L AH N
POLYANDROUS,P O L Y A N D R OU S,P AA L IY AE N D R AH S
PONDEROUS,P O N D ER OU S,P AA N D ER AH S
POROUS,P O R OU S,P AO R AH S
PORTICO,P O R T I C O,P AO R T AH K OW
PORTRAYAL,P O R T R AY A L,P AO R T R EY AH L
POSIT,P O S I T,P AA Z AH T
POTENT,P O T E N T,P OW T AH N T
PRACTICE,P R A C T I CE,P R AE K T IH S
PRAYING,P R AY I NG,P R EY IH NG
PRECIOUS,P R E CI OU S,P R EH SH AH S
PREPARATORY,P R E P A R A T O R Y,P R IH P EH R AH T AO R IY
PRESENCE,P R E S E N CE,P R EH Z AH N S
PRESTIGE,P R E S T I GE,P R EH S T IY ZH
PREVAIL,P R E V AI L,P R IH V EY L
PRIMATE,P R I M A TE,P R AY M EY T
PRINCE,P R I N CE,P R IH N S
PRIVACY,P R I V A C Y,P R AY V AH S IY
PRIZE,P R I ZE,P R AY Z
PROFICIENT,P R O F I CI E N T,P R AA F IH SH AH N T
PROGRAMMER,P R O G R A MM ER,P R OW G R AE M ER
PROLIFERATE,P R O L I F ER A TE,P R OW L IH F ER EY T
PROMENADE,P R O M E N A DE,P R AA M AH N EY D
PROMISE,P R O M I SE,P R AA M AH S
PROPHET,P R O PH E T,P R AA F AH T
PROPORTION,P R O P O R TI O N,P R AH P AO R SH AH N
PROTEIN,P R O T EI N,P R OW T IY N
PROTOTYPE,P R O T O T Y PE,P R OW T OW T AY P
PROVOCATIVE,P R O V O C A T I VE,P R OW V AA K AH T IH V
PSYCHIC,PS Y CH I C,S AY K IH K
PUBLISHER,P U B L I SH ER,P AH B L IH SH ER
PUNCTUALITY,P U N C T U A L I T Y,P AH NG K CH UW AE L IH T IY
PYTHON,P Y TH O N,P AY TH AA N
QUADRANT,Q U A D R A N T,K W AA D R AH N T
QUARRELING,Q U A RR E L I NG,K W AA R AH L IH NG
QUICKSILVER,Q U I CK S I L V ER,K W IH K S IH L V ER
QUIRKY,Q U IR K Y,K W ER K IY
RADIATE,R A D I A TE,R EY D IY EY T
RADICALIZE,R A D I C A L I ZE,R AE D IH K AH L AY Z
RADIOLOGIST,R A D I O L O G I S T,R EY D IY AA L AH JH IH S T
RANDOMIZE,R A N D O M I ZE,R AE N D AH M AY Z
RAPTUROUS,R A P T UR OU S,R AE P CH ER AH S
REALISM,R E A L I S M,R IY AH L IH Z M
REALIZE,R E A L I ZE,R IY AH L AY Z
REBELLIOUS,R E B E LL I OU S,R IH B EH L Y AH S
RECEPTIVITY,R E C E P T I V I T Y,R IY S EH P T IH V IH T IY
RECURRING,R E C URR I NG,R IH K ER IH NG
REFINEMENT,R E F I NE M E N T,R AH F AY N M AH N T
REFLECTION,R E F L E C TI O N,R AH F L EH K SH AH N
REFRESHING,R E F R E SH I NG,R IH F R EH SH IH NG
REGAIN,R E G AI N,R IH G EY N
REGATTA,R E G A TT A,R IH G AA T AH
REINCARNATE,R E I N C A R N A TE,R IY IH N K AA R N EY T
REJOINDER,R E J OI N D ER,R IH JH OY N D ER
RELATIVELY,R E L A T I VE L Y,R EH L AH T IH V L IY
RELENTING,R E L E N T I NG,R IH L EH N T IH NG
RELIEVED,R E L IE V ED,R IH L IY V D
RELIGIOUSLY,R E L I GI OU S L Y,R IH L IH JH AH S L IY
REMARKABLY,R E M A R K A B L Y,R IH M AA R K AH B L IY
REMEDY,R E M E D Y,R EH M AH D IY
RENOVATOR,R E N O V A T OR,R EH N AH V EY T ER
REPOSITION,R E P O S I TI O N,R IY P AH Z IH SH AH N
RESCHEDULE,R E S CH E D U LE,R IY S K EH JH UW L
RESEARCHER,R E S EAR CH ER,R IY S ER CH ER
RESILIENT,R E S I L I E N T,R IH Z IH L Y AH N T
RESOLVED,R E S O L V ED,R IY Z AA L V D
RESTORER,R E S T O R ER,R IH S T AO R ER
REVOLUTION,R E V O L U TI O N,R EH V AH L UW SH AH N
REWORK,R E W OR K,R IY W ER K
RHETORICIAN,RH E T OR I CI A N,R EH T ER IH SH AH N
RIGHTEOUSLY,R IGH TE OU S L Y,R AY CH AH S L IY
RIGOR,R I G OR,R IH G ER
RIVERHEAD,R I V ER H EA D,R IH V ER HH EH D
ROBUSTLY,R O B U S T L Y,R OW B AH S T L IY
ROMANTIC,R O M A N T I C,R OW M AE N T IH K
ROOT,R OO T,R UW T
ROTATED,R O T A T E D,R OW T EY T IH D
RUMINATE,R U M I N A TE,R UW M IH N EY T
SACRED,S A C R E D,S EY K R AH D
SAFELY,S A FE L Y,S EY F L IY
SAGEBRUSH,S A GE B R U SH,S EY JH B R AH SH
SAIL,S AI L,S EY L
SAMARA,S A M AR A,S AE M ER AH
SANCTIMONY,S A N C T I M O N Y,S AE NG K T IH M OW N IY
SATISFIED,S A T I S F I ED,S AE T AH S F AY D
SAUTERNES,S AU T ER NE S,S OW T ER N Z
SAVE,S A VE,S EY V
SCAN,S C A N,S K AE N
SCHOLAR,S CH O L AR,S K AA L ER
SCORCH,S C O R CH,S K AO R CH
SCRIBER,S C R I B ER,S K R AY B ER
SCUD,S C U D,S K AH D
SCULPT,S C U L P T,S K AH L P T
SEAGOING,S EA G O I NG,S IY G OW IH NG
SEASONAL,S EA S O N A L,S IY Z AH N AH L
SEGMENTED,S E G M E N T E D,S EH G M EH N T IH D
SELECTIVE,S E L E C T I VE,S AH L EH K T IH V
SEMANTICS,S E M A N T I C S,S IH M AE N T IH K S
SENNA,S E NN A,S EH N AH
SENSITIVE,S E N S I T I VE,S EH N S AH T IH V
SENTIMENTAL,S E N T I M E N T A L,S EH N T AH M EH N T AH L
SEPIA,S E P I A,S IY P IY AH
SERIOUS,S E R I OU S,S IH R IY AH S
SERPENT,S ER P E N T,S ER P AH N T
SHALE,SH A LE,SH EY L
SHAMAN,SH A M A N,SH EY M AH N
SHARPEN,SH A R P E N,SH AA R P AH N
SHIMMER,SH I MM ER,SH IH M ER
SHINE,SH I NE,SH AY N
SHIP,SH I P,SH IH P
SHIPWRECK,SH I P WR E CK,SH IH P R EH K
SHRUBBERY,SH R U BB ER Y,SH R AH B ER IY
SIBYL,S I B Y L,S IH B AH L
SIGNAL,S I G N A L,S IH G N AH L
SILVER,S I L V ER,S IH L V ER
SIMPLIFIED,S I M P L I F I ED,S IH M P L AH F AY D
SING,S I NG,S IH NG
SKILLED,S K I LL ED,S K IH L D
SKYLIGHT,S K Y L IGH T,S K AY L AY T
SLEET,S L EE T,S L IY T
SMART,S M A R T,S M AA R T
SMOKE,S M O KE,S M OW K
SMOLDER,S M O L D ER,S M OW L D ER
SMOOTHLY,S M OO TH L Y,S M UW DH L IY
SNOWBALL,S N OW B A LL,S N OW B AO L
SNOWSHOE,S N OW SH OE,S N OW SH UW
SOBER,S O B ER,S OW B ER
SOCIAL,S O CI A L,S OW SH AH L
SOL,S O L,S AA L
SOLILOQUIZE,S O L I L O Q U I ZE,S AH L IH L AH K W AY Z
SOLOIST,S O L O I S T,S OW L OW AH S T
SOLVE,S O L VE,S AA L V
SONATA,S O N A T A,S AH N AA T AH
SORROW,S O RR OW,S AA R OW
SPACIAL,S P A CI A L,S P EY SH AH L
SPARKS,S P A R K S,S P AA R K S
SPATIAL,S P A TI A L,S P EY SH AH L
SPHEROID,S PH E R OI D,S F IH R OY D
SPIRAL,S P I R A L,S P AY R AH L
SPLENDOR,S P L E N D OR,S P L EH N D ER
SPONTANEOUS,S P O N T A N E OU S,S P AA N T EY N IY AH S
SPUNKY,S P U N K Y,S P AH NG K IY
STARFISH,S T A R F I SH,S T AA R F IH SH
STARLIGHT,S T A R L IGH T,S T AA R L AY T
STARRY,S T A RR Y,S T AA R IY
STATISTIC,S T A T I S T I C,S T AH T IH S T IH K
STEADFASTLY,S T EA D F A S T L Y,S T EH D F AE S T L IY
STRATA,S T R A T A,S T R AE T AH
STRATUS,S T R A T U S,S T R AE T AH S
STRENGTHEN,S T R E NG TH E N,S T R EH NG TH AH N
STUDY,S T U D Y,S T AH D IY
SUBTRACTION,S U B T R A C TI O N,S AH B T R AE K SH AH N
SUCCESS,S U C C E SS,S AH K S EH S
SUCCINCT,S U C C I N C T,S AH K S IH NG K T
SUNRISE,S U N R I SE,S AH N R AY Z
SUPERMAN,S U P ER M A N,S UW P ER M AH N
SURMOUNTED,S UR M OU N T E D,S ER M AW N T IH D
SURREY,S URR EY,S ER IY
SUSTAIN,S U S T AI N,S AH S T EY N
SYMPATHETIC,S Y M P A TH E T I C,S IH M P AH TH EH T IH K
SYMPHONY,S Y M PH O N Y,S IH M F AH N IY
SYNTHESIS,S Y N TH E S I S,S IH N TH AH S AH S
TACT,T A C T,T AE K T
TACTICS,T A C T I C S,T AE K T IH K S
TALISMAN,T A L I S M A N,T AE L IH S M AH N
TEACH,T EA CH,T IY CH
TEMPORAL,T E M P OR A L,T EH M P ER AH L
TENACIOUSLY,T E N A CI OU S L Y,T AH N EY SH AH S L IY
TERRESTRIAL,T ERR E S T R I A L,T ER EH S T R IY AH L
TETRAVALENT,T E T R A V A L E N T,T EH T R AH V EY L AH N T
THEATERGOER,TH E A T ER G O ER,TH IY EY T ER G OW ER
THEOLOGY,TH E O L O G Y,TH IY AA L AH JH IY
THEOREM,TH E OR E M,TH IH R AH M
THRIVE,TH R I VE,TH R AY V
THUNDER,TH U N D ER,TH AH N D ER
TIDAL,T I D A L,T AY D AH L
TRANSLATION,T R A N S L A TI O N,T R AE N Z L EY SH AH N
TRAPPIST,T R A PP I S T,T R AE P IH S T
TRITON,T R I T O N,T R AY T AH N
TRUST,T R U S T,T R AH S T
TRUTH,T R U TH,T R UW TH
TWILIGHT,T W I L IGH T,T W AY L AY T
TYPESET,T Y PE S E T,T AY P S EH T
TYPICAL,T Y P I C A L,T IH P AH K AH L
TYRANNICAL,T YR A NN I C A L,T ER AE N IH K AH L
ULTRAVIOLET,U L T R A V I O L E T,AH L T R AH V AY AH L IH T
UNDERGRAD,U N D ER G R A D,AH N D ER G R AE D
UNDERLINE,U N D ER L I NE,AH N D ER L AY N
UNDERMINE,U N D ER M I NE,AH N D ER M AY N
UNDULATE,U N D U L A TE,AH N JH AH L EY T
UNLIMITED,U N L I M I T E D,AH N L IH M AH T AH D
UPLIFTING,U P L I F T I NG,AH P L IH F T IH NG
URANIUM,U R A N I U M,Y ER EY N IY AH M
VECTOR,V E C T OR,V EH K T ER
VERSATILITY,V ER S A T I L I T Y,V ER S AH T IH L AH T IY
VETERINARY,V E TE R I N A R Y,V EH T R AH N EH R IY
VIABILITY,V I A B I L I T Y,V AY AH B IH L AH T IY
VIBRANT,V I B R A N T,V AY B R AH N T
VICIOUSLY,V I CI OU S L Y,V IH SH AH S L IY
VICTOR,V I C T OR,V IH K T ER
VIGIL,V I G I L,V IH JH AH L
VIGOROUS,V I G OR OU S,V IH G ER AH S
VINDICATOR,V I N D I C A T OR,V IH N D AH K EY T ER
VIRUS,V I R U S,V AY R AH S
VISION,V I SI O N,V IH ZH AH N
VITALITY,V I T A L I T Y,V AY T AE L AH T IY
VOCALIST,V O C A L I S T,V OW K AH L IH S T
VOLUNTEER,V O L U N T EE R,V AA L AH N T IH R
VORACIOUS,V O R A CI OU S,V AO R EY SH AH S
WAGER,W A G ER,W EY JH ER
WATERFALL,W A T ER F A LL,W AO T ER F AO L
WATERMAN,W A T ER M A N,W AO T ER M AH N
WEARING,W EA R I NG,W EH R IH NG
WEIGHT,W EIGH T,W EY T
WEIRD,W EI R D,W IH R D
WESTERN,W E S T ER N,W EH S T ER N
WHIMSICALLY,WH I M S I CA LL Y,W IH M Z IH K L IY
WHISPER,WH I S P ER,W IH S P ER
WIS,W I S,W IH S
WIZARDRY,W I Z AR D R Y,W IH Z ER D R IY
WOOLMAN,W OO L M A N,W UH L M AH N
WORKMAN,W OR K M A N,W ER K M AH N
WORKSHOP,W OR K SH O P,W ER K SH AA P
WORSE,W OR SE,W ER S
WORSTED,W OR S T E D,W ER S T IH D
WRIGHT,WR IGH T,R AY T
ZEBRA,Z E B R A,Z IY B R AH
ZEPPELIN,Z E PP E L I N,Z EH P IH L IH N
ZIGGURAT,Z I GG UR A T,Z IH G ER AE T
ZONE,Z O NE,Z OW N
ZOOM,Z OO M,Z UW M